"Soort misdrijf";"Perioden";"Regio's";"Geregistreerde misdrijven (aantal)"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2015";"Gelderland (PV)";"   11375"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2016";"Gelderland (PV)";"   10945"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2017";"Gelderland (PV)";"    8034"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2018";"Gelderland (PV)";"    7184"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2019";"Gelderland (PV)";"    7726"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2020";"Gelderland (PV)";"    7126"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2021";"Gelderland (PV)";"    7121"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2022";"Gelderland (PV)";"    9253"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2012";"Utrecht (PV)";"    7073"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2013";"Utrecht (PV)";"    7970"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2014";"Utrecht (PV)";"    8536"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2015";"Utrecht (PV)";"    9900"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2016";"Utrecht (PV)";"    8943"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2017";"Utrecht (PV)";"    7970"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2018";"Utrecht (PV)";"    7334"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2019";"Utrecht (PV)";"    6503"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2020";"Utrecht (PV)";"    6839"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2021";"Utrecht (PV)";"    6228"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2022";"Utrecht (PV)";"    7752"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2012";"Noord-Holland (PV)";"   23225"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2013";"Noord-Holland (PV)";"   24152"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2014";"Noord-Holland (PV)";"   24923"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2015";"Noord-Holland (PV)";"   24808"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2016";"Noord-Holland (PV)";"   21581"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2017";"Noord-Holland (PV)";"   18366"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2018";"Noord-Holland (PV)";"   19026"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2019";"Noord-Holland (PV)";"   19344"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2020";"Noord-Holland (PV)";"   17369"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2021";"Noord-Holland (PV)";"   14998"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2022";"Noord-Holland (PV)";"   19650"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2012";"Zuid-Holland (PV)";"   24188"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2013";"Zuid-Holland (PV)";"   23007"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2014";"Zuid-Holland (PV)";"   26222"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2015";"Zuid-Holland (PV)";"   26425"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2016";"Zuid-Holland (PV)";"   27753"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2017";"Zuid-Holland (PV)";"   24478"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2018";"Zuid-Holland (PV)";"   19244"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2019";"Zuid-Holland (PV)";"   19509"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2020";"Zuid-Holland (PV)";"   19269"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2021";"Zuid-Holland (PV)";"   16607"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2022";"Zuid-Holland (PV)";"   20755"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2012";"Zeeland (PV)";"    2046"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2013";"Zeeland (PV)";"    1903"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2014";"Zeeland (PV)";"    1734"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2015";"Zeeland (PV)";"    1633"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2016";"Zeeland (PV)";"    1470"
